operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetRawMessageContent,/messages/{messageId},GET,messageId,,,,Retrieves the raw content of an in-transit emai...,messages,get_raw_message_content,select,,,,,
PutRawMessageContent,/messages/{messageId},POST,messageId,,,"content,messageId",Updates the raw content of an in-transit email ...,messages,put_raw_message_content,replace,,,,,
