operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetRoleCredentials,/federation/credentials,GET,,x-amz-sso_bearer_token,"account_id,role_name",,Returns the STS short-term credentials for a gi...,role_credentials,get_role_credentials,select,,,,,
ListAccountRoles,/assignment/roles,GET,,x-amz-sso_bearer_token,account_id,,Lists all roles that are assigned to the user f...,account_roles,list_account_roles,select,$.roleList,,,,
ListAccounts,/assignment/accounts,GET,,x-amz-sso_bearer_token,,,Lists all AWS accounts assigned to the user. Th...,accounts,list_accounts,select,$.accountList,,,,
Logout,/logout,POST,,x-amz-sso_bearer_token,,,Removes the locally stored SSO tokens from the ...,sessions,logout,exec,,,,,
