operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetRateBasedRule,/#X-Amz-Target=AWSWAF_20150824.GetRateBasedRule,POST,,,,RuleId,This is **AWS WAF Classic** documentation. For ...,rate_based_rules,get_rate_based_rule,select,,,,,
UpdateRateBasedRule,/#X-Amz-Target=AWSWAF_20150824.UpdateRateBasedRule,POST,,,,"ChangeToken,RateLimit,RuleId,Updates",This is **AWS WAF Classic** documentation. For ...,rate_based_rules,update_rate_based_rule,update,,,,,
ListRegexMatchSets,/#X-Amz-Target=AWSWAF_20150824.ListRegexMatchSets,POST,,,,,This is **AWS WAF Classic** documentation. For ...,regex_match_sets,list_regex_match_sets,select,,,,,
CreateRegexMatchSet,/#X-Amz-Target=AWSWAF_20150824.CreateRegexMatchSet,POST,,,,"ChangeToken,Name",This is **AWS WAF Classic** documentation. For ...,regex_match_sets,create_regex_match_set,insert,,,,,
DeleteRegexMatchSet,/#X-Amz-Target=AWSWAF_20150824.DeleteRegexMatchSet,POST,,,,"ChangeToken,RegexMatchSetId",This is **AWS WAF Classic** documentation. For ...,regex_match_sets,delete_regex_match_set,delete,,,,,
GetRegexMatchSet,/#X-Amz-Target=AWSWAF_20150824.GetRegexMatchSet,POST,,,,RegexMatchSetId,This is **AWS WAF Classic** documentation. For ...,regex_match_sets,get_regex_match_set,select,,,,,
UpdateRegexMatchSet,/#X-Amz-Target=AWSWAF_20150824.UpdateRegexMatchSet,POST,,,,"ChangeToken,RegexMatchSetId,Updates",This is **AWS WAF Classic** documentation. For ...,regex_match_sets,update_regex_match_set,update,,,,,
ListRegexPatternSets,/#X-Amz-Target=AWSWAF_20150824.ListRegexPatternSets,POST,,,,,This is **AWS WAF Classic** documentation. For ...,regex_pattern_sets,list_regex_pattern_sets,select,,,,,
CreateRegexPatternSet,/#X-Amz-Target=AWSWAF_20150824.CreateRegexPatternSet,POST,,,,"ChangeToken,Name",This is **AWS WAF Classic** documentation. For ...,regex_pattern_sets,create_regex_pattern_set,insert,,,,,
DeleteRegexPatternSet,/#X-Amz-Target=AWSWAF_20150824.DeleteRegexPatternSet,POST,,,,"ChangeToken,RegexPatternSetId",This is **AWS WAF Classic** documentation. For ...,regex_pattern_sets,delete_regex_pattern_set,delete,,,,,
GetRegexPatternSet,/#X-Amz-Target=AWSWAF_20150824.GetRegexPatternSet,POST,,,,RegexPatternSetId,This is **AWS WAF Classic** documentation. For ...,regex_pattern_sets,get_regex_pattern_set,select,,,,,
UpdateRegexPatternSet,/#X-Amz-Target=AWSWAF_20150824.UpdateRegexPatternSet,POST,,,,"ChangeToken,RegexPatternSetId,Updates",This is **AWS WAF Classic** documentation. For ...,regex_pattern_sets,update_regex_pattern_set,update,,,,,
ListRuleGroups,/#X-Amz-Target=AWSWAF_20150824.ListRuleGroups,POST,,,,,This is **AWS WAF Classic** documentation. For ...,rule_groups,list_rule_groups,select,,,,,
CreateRuleGroup,/#X-Amz-Target=AWSWAF_20150824.CreateRuleGroup,POST,,,,"ChangeToken,MetricName,Name",This is **AWS WAF Classic** documentation. For ...,rule_groups,create_rule_group,insert,,,,,
DeleteRuleGroup,/#X-Amz-Target=AWSWAF_20150824.DeleteRuleGroup,POST,,,,"ChangeToken,RuleGroupId",This is **AWS WAF Classic** documentation. For ...,rule_groups,delete_rule_group,delete,,,,,
GetRuleGroup,/#X-Amz-Target=AWSWAF_20150824.GetRuleGroup,POST,,,,RuleGroupId,This is **AWS WAF Classic** documentation. For ...,rule_groups,get_rule_group,select,,,,,
UpdateRuleGroup,/#X-Amz-Target=AWSWAF_20150824.UpdateRuleGroup,POST,,,,"ChangeToken,RuleGroupId,Updates",This is **AWS WAF Classic** documentation. For ...,rule_groups,update_rule_group,update,,,,,
