operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DeleteVpcPeeringConnection,/#X-Amz-Target=GameLift.DeleteVpcPeeringConnection,POST,,,,"FleetId,VpcPeeringConnectionId",**This API works with the following fleet types...,vpc_peering_connections,delete_vpc_peering_connection,delete,,,,,
DeregisterCompute,/#X-Amz-Target=GameLift.DeregisterCompute,POST,,,,"ComputeName,FleetId",**This API works with the following fleet types...,compute,deregister_compute,exec,,,,,
DeregisterGameServer,/#X-Amz-Target=GameLift.DeregisterGameServer,POST,,,,"GameServerGroupName,GameServerId",**This API works with the following fleet types...,game_servers,deregister_game_server,exec,,,,,
DescribeAlias,/#X-Amz-Target=GameLift.DescribeAlias,POST,,,,AliasId,**This API works with the following fleet types...,aliases,describe_alias,select,,,,,
DescribeBuild,/#X-Amz-Target=GameLift.DescribeBuild,POST,,,,BuildId,**This API works with the following fleet types...,builds,describe_build,select,,,,,
DescribeCompute,/#X-Amz-Target=GameLift.DescribeCompute,POST,,,,"ComputeName,FleetId",**This API works with the following fleet types...,compute,describe_compute,select,,,,,
DescribeContainerFleet,/#X-Amz-Target=GameLift.DescribeContainerFleet,POST,,,,FleetId,**This API works with the following fleet types...,container_fleets,describe_container_fleet,select,,,,,
DescribeContainerGroupDefinition,/#X-Amz-Target=GameLift.DescribeContainerGroupDefinition,POST,,,,Name,**This API works with the following fleet types...,container_group_definitions,describe_container_group_definition,select,,,,,
DescribeEC2InstanceLimits,/#X-Amz-Target=GameLift.DescribeEC2InstanceLimits,POST,,,,,**This API works with the following fleet types...,ec2_instance_limits,describe_ec2_instance_limits,select,,,,,
DescribeFleetAttributes,/#X-Amz-Target=GameLift.DescribeFleetAttributes,POST,,,,,**This API works with the following fleet types...,fleets,describe_fleet_attributes,select,$.FleetAttributes,,,,
DescribeFleetCapacity,/#X-Amz-Target=GameLift.DescribeFleetCapacity,POST,,,,,**This API works with the following fleet types...,fleets,describe_fleet_capacity,select,$.FleetCapacity,,,,
DescribeFleetDeployment,/#X-Amz-Target=GameLift.DescribeFleetDeployment,POST,,,,FleetId,**This API works with the following fleet types...,fleet_deployments,describe_fleet_deployment,select,,,,,
DescribeFleetEvents,/#X-Amz-Target=GameLift.DescribeFleetEvents,POST,,,,FleetId,**This API works with the following fleet types...,fleet_events,describe_fleet_events,select,$.Events,,,,
DescribeFleetLocationAttributes,/#X-Amz-Target=GameLift.DescribeFleetLocationAttributes,POST,,,,FleetId,**This API works with the following fleet types...,fleet_locations,describe_fleet_location_attributes,select,,,,,
DescribeFleetLocationCapacity,/#X-Amz-Target=GameLift.DescribeFleetLocationCapacity,POST,,,,"FleetId,Location",**This API works with the following fleet types...,fleet_locations,describe_fleet_location_capacity,select,,,,,
DescribeFleetLocationUtilization,/#X-Amz-Target=GameLift.DescribeFleetLocationUtilization,POST,,,,"FleetId,Location",**This API works with the following fleet types...,fleet_locations,describe_fleet_location_utilization,select,,,,,
DescribeFleetPortSettings,/#X-Amz-Target=GameLift.DescribeFleetPortSettings,POST,,,,FleetId,**This API works with the following fleet types...,fleets,describe_fleet_port_settings,select,,,,,
DescribeFleetUtilization,/#X-Amz-Target=GameLift.DescribeFleetUtilization,POST,,,,,**This API works with the following fleet types...,fleets,describe_fleet_utilization,select,$.FleetUtilization,,,,
DescribeGameServer,/#X-Amz-Target=GameLift.DescribeGameServer,POST,,,,"GameServerGroupName,GameServerId",**This API works with the following fleet types...,game_servers,describe_game_server,select,,,,,
DescribeGameServerGroup,/#X-Amz-Target=GameLift.DescribeGameServerGroup,POST,,,,GameServerGroupName,**This API works with the following fleet types...,game_server_groups,describe_game_server_group,select,,,,,
DescribeGameServerInstances,/#X-Amz-Target=GameLift.DescribeGameServerInstances,POST,,,,GameServerGroupName,**This API works with the following fleet types...,game_server_instances,describe_game_server_instances,select,$.GameServerInstances,,,,
DescribeGameSessionDetails,/#X-Amz-Target=GameLift.DescribeGameSessionDetails,POST,,,,,**This API works with the following fleet types...,game_sessions,describe_game_session_details,select,$.GameSessionDetails,,,,
DescribeGameSessionPlacement,/#X-Amz-Target=GameLift.DescribeGameSessionPlacement,POST,,,,PlacementId,**This API works with the following fleet types...,game_session_placements,describe_game_session_placement,select,,,,,
DescribeGameSessionQueues,/#X-Amz-Target=GameLift.DescribeGameSessionQueues,POST,,,,,**This API works with the following fleet types...,game_session_queues,describe_game_session_queues,select,$.GameSessionQueues,,,,
DescribeGameSessions,/#X-Amz-Target=GameLift.DescribeGameSessions,POST,,,,,**This API works with the following fleet types...,game_sessions,describe_game_sessions,select,$.GameSessions,,,,
DescribeInstances,/#X-Amz-Target=GameLift.DescribeInstances,POST,,,,FleetId,**This API works with the following fleet types...,instances,describe_instances,select,$.Instances,,,,
DescribeMatchmaking,/#X-Amz-Target=GameLift.DescribeMatchmaking,POST,,,,TicketIds,**This API works with the following fleet types...,matchmaking,describe_matchmaking,select,,,,,
DescribeMatchmakingConfigurations,/#X-Amz-Target=GameLift.DescribeMatchmakingConfigurations,POST,,,,,**This API works with the following fleet types...,matchmaking_configurations,describe_matchmaking_configurations,select,$.Configurations,,,,
DescribeMatchmakingRuleSets,/#X-Amz-Target=GameLift.DescribeMatchmakingRuleSets,POST,,,,,**This API works with the following fleet types...,matchmaking_rule_sets,describe_matchmaking_rule_sets,select,$.RuleSets,,,,
DescribePlayerSessions,/#X-Amz-Target=GameLift.DescribePlayerSessions,POST,,,,,**This API works with the following fleet types...,player_sessions,describe_player_sessions,select,$.PlayerSessions,,,,
DescribeRuntimeConfiguration,/#X-Amz-Target=GameLift.DescribeRuntimeConfiguration,POST,,,,FleetId,**This API works with the following fleet types...,runtime_configurations,describe_runtime_configuration,select,,,,,
DescribeScalingPolicies,/#X-Amz-Target=GameLift.DescribeScalingPolicies,POST,,,,FleetId,**This API works with the following fleet types...,scaling_policies,describe_scaling_policies,select,$.ScalingPolicies,,,,
DescribeScript,/#X-Amz-Target=GameLift.DescribeScript,POST,,,,ScriptId,**This API works with the following fleet types...,scripts,describe_script,select,,,,,
DescribeVpcPeeringAuthorizations,/#X-Amz-Target=GameLift.DescribeVpcPeeringAuthorizations,POST,,,,,**This API works with the following fleet types...,vpc_peering_authorizations,describe_vpc_peering_authorizations,select,,,,,
DescribeVpcPeeringConnections,/#X-Amz-Target=GameLift.DescribeVpcPeeringConnections,POST,,,,,**This API works with the following fleet types...,vpc_peering_connections,describe_vpc_peering_connections,select,,,,,
GetComputeAccess,/#X-Amz-Target=GameLift.GetComputeAccess,POST,,,,"ComputeName,FleetId",**This API works with the following fleet types...,compute_details,get_compute_access,select,,,,,
GetComputeAuthToken,/#X-Amz-Target=GameLift.GetComputeAuthToken,POST,,,,"ComputeName,FleetId",**This API works with the following fleet types...,compute_details,get_compute_auth_token,select,,,,,
GetGameSessionLogUrl,/#X-Amz-Target=GameLift.GetGameSessionLogUrl,POST,,,,GameSessionId,**This API works with the following fleet types...,game_session_details,get_game_session_log_url,select,,,,,
GetInstanceAccess,/#X-Amz-Target=GameLift.GetInstanceAccess,POST,,,,"FleetId,InstanceId",**This API works with the following fleet types...,instances,get_instance_access,select,,,,,
ListAliases,/#X-Amz-Target=GameLift.ListAliases,POST,,,,,**This API works with the following fleet types...,aliases,list_aliases,select,$.Aliases,,,,
ListBuilds,/#X-Amz-Target=GameLift.ListBuilds,POST,,,,,**This API works with the following fleet types...,builds,list_builds,select,$.Builds,,,,
ListCompute,/#X-Amz-Target=GameLift.ListCompute,POST,,,,FleetId,**This API works with the following fleet types...,compute,list_compute,select,$.ComputeList,,,,
ListContainerFleets,/#X-Amz-Target=GameLift.ListContainerFleets,POST,,,,FleetId,**This API works with the following fleet types...,container_fleets,list_container_fleets,select,$.ContainerFleets,,,,
ListContainerGroupDefinitionVersions,/#X-Amz-Target=GameLift.ListContainerGroupDefinitionVersions,POST,,,,Name,**This API works with the following fleet types...,container_group_definitions,list_container_group_definition_versions,select,$.ContainerGroupDefinitions,,,,
ListContainerGroupDefinitions,/#X-Amz-Target=GameLift.ListContainerGroupDefinitions,POST,,,,,**This API works with the following fleet types...,container_group_definitions,list_container_group_definitions,select,$.ContainerGroupDefinitions,,,,
