operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetAttributeValues,/#X-Amz-Target=AWSPriceListService.GetAttributeValues,POST,Returns a list of attribute values. Attributes ...,attribute_values,get_attribute_values,select,$.AttributeValues,,,,
GetPriceListFileUrl,/#X-Amz-Target=AWSPriceListService.GetPriceListFileUrl,POST,_**This feature is in preview release and is su...,price_list_file_url,get_price_list_file_url,select,,,,,
ListPriceLists,/#X-Amz-Target=AWSPriceListService.ListPriceLists,POST,_**This feature is in preview release and is su...,price_lists,list_price_lists,select,$.PriceLists,,,,
GetProducts,/#X-Amz-Target=AWSPriceListService.GetProducts,POST,Returns a list of all products that match the f...,products,get_products,select,$.PriceList,,,,
DescribeServices,/#X-Amz-Target=AWSPriceListService.DescribeServices,POST,Returns the metadata for one service or a list ...,services,describe_services,select,$.Services,,,,
