operationId,path,verb,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateHomeRegionControl,/#X-Amz-Target=AWSMigrationHubMultiAccountService.CreateHomeRegionControl,POST,This API sets up the home region for the callin...,home_region_controls,create_home_region_control,insert,,,,,
DeleteHomeRegionControl,/#X-Amz-Target=AWSMigrationHubMultiAccountService.DeleteHomeRegionControl,POST,This operation deletes the home region configur...,home_region_controls,delete_home_region_control,delete,,,,,
DescribeHomeRegionControls,/#X-Amz-Target=AWSMigrationHubMultiAccountService.DescribeHomeRegionControls,POST,This API permits filtering on the `ControlId` a...,home_region_controls,describe_home_region_controls,select,,,,,
GetHomeRegion,/#X-Amz-Target=AWSMigrationHubMultiAccountService.GetHomeRegion,POST,"Returns the calling account's home region, if c...",home_region_controls,get_home_region,select,,,,,
