operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
DisconnectFromService,/DisconnectFromService,POST,,,,"lifeCycle,sourceServerID",Disconnects specific Source Servers from Applic...,source_servers,disconnect_from_service,exec,,,,,
FinalizeCutover,/FinalizeCutover,POST,,,,"lifeCycle,sourceServerID",Finalizes the cutover immediately for specific ...,source_servers,finalize_cutover,exec,,,,,
MarkAsArchived,/MarkAsArchived,POST,,,,"lifeCycle,sourceServerID",Archives specific Source Servers by setting the...,source_servers,mark_as_archived,exec,,,,,
PauseReplication,/PauseReplication,POST,,,,"lifeCycle,sourceServerID",Pause Replication.,source_servers,pause_replication,exec,,,,,
ResumeReplication,/ResumeReplication,POST,,,,"lifeCycle,sourceServerID",Resume Replication.,source_servers,resume_replication,exec,,,,,
RetryDataReplication,/RetryDataReplication,POST,,,,"lifeCycle,sourceServerID",Causes the data replication initiation sequence...,source_servers,retry_data_replication,exec,,,,,
StartCutover,/StartCutover,POST,,,,sourceServerIDs,Launches a Cutover Instance for specific Source...,source_servers,start_cutover,exec,,,,,
StartReplication,/StartReplication,POST,,,,"lifeCycle,sourceServerID",Starts replication for SNAPSHOT_SHIPPING agents.,source_servers,start_replication,exec,,,,,
StartTest,/StartTest,POST,,,,sourceServerIDs,Launches a Test Instance for specific Source Se...,source_servers,start_test,exec,,,,,
StopReplication,/StopReplication,POST,,,,"lifeCycle,sourceServerID",Stop Replication.,source_servers,stop_replication,exec,,,,,
TerminateTargetInstances,/TerminateTargetInstances,POST,,,,sourceServerIDs,Starts a job that terminates specific launched ...,source_servers,terminate_target_instances,exec,,,,,
UpdateSourceServer,/UpdateSourceServer,POST,,,,sourceServerID,Update Source Server.,source_servers,update_source_server,update,,,,,
ListTagsForResource,/tags/{resourceArn},GET,resourceArn,,,,List all tags for your Application Migration Se...,tags,list_tags_for_resource,select,,,,,
TagResource,/tags/{resourceArn},POST,resourceArn,,,,Adds or overwrites only the specified tags for ...,tags,tag_resource,exec,,,,,
UntagResource,/tags/{resourceArn},DELETE,resourceArn,,tagKeys,,Deletes the specified set of tags from the spec...,tags,untag_resource,exec,,,,,
ListTemplateActions,/ListTemplateActions,POST,,,,launchConfigurationTemplateID,List template post migration custom actions.,template_actions,list_template_actions,select,$.items,,,,
PutTemplateAction,/PutTemplateAction,POST,,,,"actionID,actionName,documentIdentifier,launchConfigurationTemplateID,order",Put template post migration custom action.,template_actions,put_template_action,replace,,,,,
RemoveTemplateAction,/RemoveTemplateAction,POST,,,,"actionID,actionName,documentIdentifier,launchConfigurationTemplateID,order",Remove template post migration custom action.,template_actions,remove_template_action,exec,,,,,
