operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
GetPreferences,/#X-Amz-Target=CostOptimizationHubService.GetPreferences,POST,,,,,Returns a set of preferences for an account in ...,preferences,get_preferences,select,,,,,
GetRecommendation,/#X-Amz-Target=CostOptimizationHubService.GetRecommendation,POST,,,,recommendationId,Returns both the current and recommended resour...,recommendations,get_recommendation,select,,,,,
ListEfficiencyMetrics,/#X-Amz-Target=CostOptimizationHubService.ListEfficiencyMetrics,POST,,,,"granularity,timePeriod",Returns cost efficiency metrics aggregated over...,efficiency_metrics,list_efficiency_metrics,select,$.efficiencyMetricsByGroup,,,,
ListEnrollmentStatuses,/#X-Amz-Target=CostOptimizationHubService.ListEnrollmentStatuses,POST,,,,,Retrieves the enrollment status for an account....,enrollment_statuses,list_enrollment_statuses,select,$.items,,,,
ListRecommendationSummaries,/#X-Amz-Target=CostOptimizationHubService.ListRecommendationSummaries,POST,,,,groupBy,Returns a concise representation of savings est...,recommendations,list_recommendation_summaries,select,$.items,,,,
ListRecommendations,/#X-Amz-Target=CostOptimizationHubService.ListRecommendations,POST,,,,,Returns a list of recommendations.,recommendations,list_recommendations,select,$.items,,,,
UpdateEnrollmentStatus,/#X-Amz-Target=CostOptimizationHubService.UpdateEnrollmentStatus,POST,,,,status,Updates the enrollment (opt in and opt out) sta...,enrollment_statuses,update_enrollment_status,update,,,,,
UpdatePreferences,/#X-Amz-Target=CostOptimizationHubService.UpdatePreferences,POST,,,,,Updates a set of preferences for an account in ...,preferences,update_preferences,update,,,,,
