operationId,path,verb,description,resource,originalResourceName,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateScalingPlan,/#X-Amz-Target=AnyScaleScalingPlannerFrontendService.CreateScalingPlan,POST,Creates a scaling plan.,scaling_plans,scaling_plans,create_scaling_plan,insert,,,,,
DeleteScalingPlan,/#X-Amz-Target=AnyScaleScalingPlannerFrontendService.DeleteScalingPlan,POST,Deletes the specified scaling plan. Deleting a ...,scaling_plans,scaling_plans,delete_scaling_plan,delete,,,,,
DescribeScalingPlanResources,/#X-Amz-Target=AnyScaleScalingPlannerFrontendService.DescribeScalingPlanResources,POST,Describes the scalable resources in the specifi...,scaling_plan_resources,scaling_plan_resources,describe_scaling_plan_resources,select,,,,,
DescribeScalingPlans,/#X-Amz-Target=AnyScaleScalingPlannerFrontendService.DescribeScalingPlans,POST,Describes one or more of your scaling plans.,scaling_plans,scaling_plans,describe_scaling_plans,select,,,,,
GetScalingPlanResourceForecastData,/#X-Amz-Target=AnyScaleScalingPlannerFrontendService.GetScalingPlanResourceForecastData,POST,Retrieves the forecast data for a scalable reso...,scaling_plan_resource_forecast_data,scaling_plan_resource_forecast_data,get_scaling_plan_resource_forecast_data,select,,,,,
UpdateScalingPlan,/#X-Amz-Target=AnyScaleScalingPlannerFrontendService.UpdateScalingPlan,POST,Updates the specified scaling plan. You cannot ...,scaling_plans,scaling_plans,update_scaling_plan,update,,,,,
